EXPERIMENT,gf,mf,σ,T,foram,SYSTEM,%foram,,,,min %,max %,"Here you can find the model output for the carnivorous non-spinose with σ= 0.5, 0.6, 0.8 and 1 with optimum predator -prey length ratio 10:1"
,,,,,,,,,,,,,
other,0,0,0.6,20,DEAD,OLIGO,DEAD,,,,,,
other,10,0,0.6,20,DEAD,OLIGO,DEAD,,,,,,
other,10,20,0.6,20,DEAD,OLIGO,DEAD,,,,,,
other,10,50,0.6,20,0.014474321,OLIGO,9.03E+00,,,,,,
other,20,40,0.6,20,DEAD,OLIGO,DEAD,,,,,,
other,20,50,0.6,20,0.0000008,OLIGO,5.40E-04,,,,,,
other,20,55,0.6,20,0.002578979,OLIGO,1.68E+00,,,,,,
other,25,55,0.6,20,0.0000001,OLIGO,7.00E-05,,,,,,
other,25,60,0.6,20,0.000836766,OLIGO,5.50E-01,,,,,,
other,30,65,0.6,20,0.000149948,OLIGO,9.89E-02,,,,,,
other,10,40,0.6,20,4.37E-05,OLIGO,2.88E-02,,,,,,
,,,,,,,,,,,,,
other,0,0,0.6,20,DEAD,MESO,DEAD,,,,,,
other,10,20,0.6,20,DEAD,MESO,DEAD,,,,,,
other,10,40,0.6,20,DEAD,MESO,DEAD,,,,,,
other,10,50,0.6,20,0.00047476,MESO,2.40E-01,,,,,,
other,15,55,0.6,20,0.000215567,MESO,1.09E-01,,,,,,
other,15,55,0.6,20,0.000215567,MESO,1.09E-01,,,,,,
other,20,60,0.6,20,0.000107911,MESO,5.46E-02,,,,,,
other,25,65,0.6,20,5.22E-05,MESO,2.64E-02,,,,,,
,,,,,,,,,,,,,
other,10,50,0.6,20,6.19E-05,EUTRO,2.66E-02,,,,,,
other,0,0,0.6,20,DEAD,EUTRO,DEAD,,,,,,
other,10,20,0.6,20,DEAD,EUTRO,DEAD,,,,,,
other,10,40,0.6,20,DEAD,EUTRO,DEAD,,,,,,
other,30,70,0.6,20,0.000001,EUTRO,6.25E-04,,,,,,
,,,,,,,,,,,,,
other,0,0,0.6,30,0.026,OLIGO,1.02E+01,,,,,,
other,20,0,0.6,30,0.01005,OLIGO,4.00E+00,,,,,,
other,30,0,0.6,30,DEAD,OLIGO,DEAD,,,,,,
other,30,20,0.6,30,0.012764806,OLIGO,5.04E+00,,,,,,
other,40,20,0.6,30,DEAD,OLIGO,DEAD,,,,,,
other,50,40,0.6,30,DEAD,OLIGO,DEAD,,,,,,
,,,,,,,,,,,,,
other,0,0,0.6,30,0.021893003,MESO,5.79E+00,,,,,,
other,40,0,0.6,30,DEAD,MESO,DEAD,,,,,,
other,40,10,0.6,30,DEAD,MESO,DEAD,,,,,,
other,50,40,0.6,30,6.35E-07,MESO,1.71E-04,,,,,,
other,50,45,0.6,30,0.003308135,MESO,8.83E-01,,,,,,
other,30,0,0.6,30,1.03E-04,MESO,2.77E-02,,,,,,
,,,,,,,,,,,,,
other,40,10,0.6,30,9.93E-05,EUTRO,2.10E-02,,,,,,
other,0,0,0.6,30,0.18,EUTRO,3.84E+00,,,,,,
other,10,0,0.6,30,0.01507,EUTRO,3.20E+00,,,,,,
other,20,0,0.6,30,0.013,EUTRO,2.80E+00,,,,,,
other,30,0,0.6,30,0.007157111,EUTRO,1.50E+00,,,,,,
other,40,0,0.6,30,DEAD,EUTRO,DEAD,,,,,,
other,50,10,0.6,30,DEAD,EUTRO,DEAD,,,,,,
other,50,15,0.6,30,DEAD,EUTRO,DEAD,,,,,,
other,50,20,0.6,30,DEAD,EUTRO,DEAD,,,,,,
other,50,30,0.6,30,1.94E-07,EUTRO,4.00E-05,,,,,,
other,50,35,0.6,30,0.001539663,EUTRO,3.24E-01,,,,,,
other,60,50,0.6,30,DEAD,EUTRO,DEAD,,,,,,
other,60,60,0.6,30,0.003730171,EUTRO,7.83E-01,,,,,,
other,60,55,0.6,30,0.000005,EUTRO,9.00E-04,,,,,,
,,,,,,,,,,,,,
plausible,25,15,0.8,20,1.00E-05,OLIGO,6.60E-03,,,,,,
plausible,25,20,0.8,20,9.92E-06,OLIGO,6.55E-03,,,,,,
plausible,45,35,0.8,20,4.00E-05,MESO,1.70E-02,,,,,,
plausible,25,15,0.8,20,1.37E-05,MESO,6.89E-03,,,,,,
plausible,30,25,0.8,20,4.00E-06,eutro,1.81E-03,,,,,,
plausible,55,10,0.8,30,3.00E-06,OLIGO,1.20E-03,,,,,,
plausible,60,10,0.8,30,1.00E-05,EUTRO,2.00E-03,,,,,,
plausible,60,10,0.8,30,1.00E-05,EUTRO,2.00E-03,,,,,,
,,,,,,,,,,,,,
low_biomass,50,60,0.8,20,2.26E-05,OLIGO,1.49E-02,,,,,,
low_biomass,50,60,0.8,20,2.00E-05,MESO,1.92E-02,,,,,,
low_biomass,50,60,0.8,20,3.00E-06,eutro,1.41E-03,,,,,,
low_biomass,70,45,0.8,30,2.00E-05,EUTRO,4.00E-03,,,,,,
,,,,,,,,,,,,,
other,0,0,0.8,20,0.024893306,OLIGO,1.54E+01,,,,,,
other,10,0,0.8,20,0.010177677,OLIGO,6.54E+00,,,,,,
other,20,0,0.8,20,DEAD,OLIGO,DEAD,,,,,,
other,20,5,0.8,20,1.32E-06,OLIGO,8.69E-04,,,,,,
other,25,10,0.8,20,DEAD,OLIGO,DEAD,,,,,,
other,40,35,0.8,20,DEAD,OLIGO,DEAD,,,,,,
other,40,40,0.8,20,3.90E-07,OLIGO,2.57E-04,,,,,,
other,50,45,0.8,20,DEAD,OLIGO,DEAD,,,,,,
other,50,50,0.8,20,DEAD,OLIGO,DEAD,,,,,,
other,30,25,0.8,20,7.27E-05,OLIGO,4.80E-02,,,,,,
,,,,,,,,,,,,,
other,0,0,0.8,20,3.41E-02,MESO,1.62E+01,,,,,,
other,20,0,0.8,20,DEAD,MESO,DEAD,,,,,,
other,20,5,0.8,20,1.70E-06,MESO,8.54E-04,,,,,,
other,20,10,0.8,20,0.002770363,MESO,1.39E+00,,,,,,
other,25,10,0.8,20,DEAD,MESO,DEAD,,,,,,
other,30,25,0.8,20,0.019890628,MESO,9.52E+00,,,,,,
other,35,25,0.8,20,DEAD,MESO,DEAD,,,,,,
other,35,30,0.8,20,5.00E-08,MESO,2.00E-05,,,,,,
other,40,35,0.8,20,DEAD,MESO,DEAD,,,,,,
other,40,40,0.8,20,4.00E-07,MESO,1.80E-04,,,,,,
other,40,45,0.8,20,0.003,MESO,1.65E+00,,,,,,
,,,,,,,,,,,,,
other,0,0,0.8,20,3.70E-02,eutro,1.49E+01,,,,,,
other,20,0,0.8,20,DEAD,eutro,DEAD,,,,,,
other,20,5,0.8,20,DEAD,eutro,DEAD,,,,,,
other,20,10,0.8,20,0.00028,eutro,1.20E-01,,,,,,
other,25,15,0.8,20,4.00E-07,eutro,1.90E-04,,,,,,
other,25,20,0.8,20,0.00197,eutro,8.40E-01,,,,,,
other,35,30,0.8,20,DEAD,eutro,DEAD,,,,,,
other,40,40,0.8,20,4.00E-08,eutro,2.00E-05,,,,,,
other,40,45,0.8,20,3.5-04,eutro,1.50E-01,,,,,,
other,50,65,0.8,20,0.017,eutro,4.90E+00,,,,,,
,,,,,,,,,,,,,
other,0,0,0.8,30,2.40E-02,OLIGO,9.70E+00,,,,,,
other,20,0,0.8,30,2.40E-02,OLIGO,9.92E+00,,,,,,
other,40,0,0.8,30,2.50E-02,OLIGO,1.03E+01,,,,,,
other,60,0,0.8,30,DEAD,OLIGO,DEAD,,,,,,
other,50,0,0.8,30,6.50E-03,OLIGO,2.60E+00,,,,,,
other,55,0,0.8,30,DEAD,OLIGO,DEAD,,,,,,
other,60,25,0.8,30,DEAD,OLIGO,DEAD,,,,,,
other,60,30,0.8,30,5.00E-03,OLIGO,1.90E+00,,,,,,
,,,,,,,,,,,,,
other,0,0,0.8,30,2.40E-02,MESO,6.40E+00,,,,,,
other,40,0,0.8,30,2.00E-02,MESO,5.37E+00,,,,,,
other,50,0,0.8,30,2.00E-02,MESO,3.10E+00,,,,,,
other,60,0,0.8,30,DEAD,MESO,DEAD,,,,,,
other,60,10,0.8,30,DEAD,MESO,DEAD,,,,,,
other,60,20,0.8,30,3.40E-03,MESO,9.30E-02,,,,,,
other,55,10,0.8,30,8.20E-03,MESO,2.17E+00,,,,,,
other,55,25,0.8,30,2.10E-03,MESO,5.70E-01,,,,,,
,,,,,,,,,,,,,
other,0,0,0.8,30,2.30E-02,EUTRO,4.93E+00,,,,,,
other,50,0,0.8,30,9.75E-03,EUTRO,2.04E+00,,,,,,
other,60,0,0.8,30,DEAD,EUTRO,DEAD,,,,,,
other,55,0,0.8,30,4.70E-02,EUTRO,1.00E+00,,,,,,
other,70,15,0.8,30,DEAD,EUTRO,DEAD,,,,,,
other,70,30,0.8,30,DEAD,EUTRO,DEAD,,,,,,
other,70,40,0.8,30,DEAD,EUTRO,DEAD,,,,,,
,,,,,,,,,,,,,
