EXPERIMENT,gf,mf,σ,T,foram,grazing pressure on them,SYSTEM,%foram,,min %,max %
other,40,0,0.5,30,7.00E-08,Yes = 1,OLIGO,2.80E-05,,,
other,50,0,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,10,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,5,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,45,0,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,45,5,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,20,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,55,30,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,55,20,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,55,15,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,60,20,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,60,30,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,60,40,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,20,24,0.5,30,2.00E-02,Yes = 1,OLIGO,9.60E+00,,,
other,25,32,0.5,30,2.00E-02,Yes = 1,OLIGO,9.40E+00,,,
other,20,38,0.5,30,2.00E-02,Yes = 1,OLIGO,9.80E+00,,,
other,45,16,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,2,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,60,45,0.5,30,DEAD,Yes = 1,OLIGO,DEAD,,,
other,50,30,0.5,30,7.00E-05,Yes = 1,OLIGO,2.60E-02,,,
,,,,,,,,,,,
other,0,0,0.5,30,2.00E-02,Yes = 1,MESO,6.50E+00,,,
other,20,0,0.5,30,2.00E-02,Yes = 1,MESO,5.90E+00,,,
other,40,0,0.5,30,1.00E-02,Yes = 1,MESO,2.60E+00,,,
other,50,0,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,50,10,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,50,5,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,45,0,0.5,30,1.00E-07,Yes = 1,MESO,2.80E-05,,,
other,45,5,0.5,30,1.00E-03,Yes = 1,MESO,2.60E-01,,,
other,45,15,0.5,30,1.00E-02,Yes = 1,MESO,3.00E+00,,,
other,50,20,0.5,30,5.00E-03,Yes = 1,MESO,1.30E+00,,,
other,50,30,0.5,30,1.00E-02,Yes = 1,MESO,3.30E+00,,,
other,55,40,0.5,30,1.00E-02,Yes = 1,MESO,3.00E+00,,,
other,55,20,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,55,15,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,60,20,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,60,30,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,60,40,0.5,30,1.00E-07,Yes = 1,MESO,3.40E-05,,,
other,40,5,0.5,30,1.00E-02,Yes = 1,MESO,3.50E+00,,,
other,20,24,0.5,30,2.00E-02,Yes = 1,MESO,6.10E+00,,,
other,25,32,0.5,30,2.00E-02,Yes = 1,MESO,6.00E+00,,,
other,20,38,0.5,30,2.00E-02,Yes = 1,MESO,6.20E+00,,,
other,45,16,0.5,30,1.00E-02,Yes = 1,MESO,3.10E+00,,,
other,50,2,0.5,30,DEAD,Yes = 1,MESO,DEAD,,,
other,60,45,0.5,30,1.00E-03,Yes = 1,MESO,3.90E-01,,,
,,,,,,,,,,,
,,,,,,,,,,,
other,0,0,0.5,30,2.00E-02,Yes = 1,EUTRO,4.30E+00,,,
other,20,0,0.5,30,2.00E-02,Yes = 1,EUTRO,3.70E+00,,,
other,40,0,0.5,30,1.00E-02,Yes = 1,EUTRO,2.10E+00,,,
other,50,0,0.5,30,3.00E-07,Yes = 1,EUTRO,5.60E-05,,,
other,50,10,0.5,30,5.00E-03,Yes = 1,EUTRO,1.10E+00,,,
other,50,5,0.5,30,2.00E-03,Yes = 1,EUTRO,3.30E-01,,,
other,45,0,0.5,30,7.00E-03,Yes = 1,EUTRO,1.40E+00,,,
other,45,5,0.5,30,8.00E-03,Yes = 1,EUTRO,1.80E+00,,,
other,45,15,0.5,30,1.00E-02,Yes = 1,EUTRO,2.30E+00,,,
other,50,20,0.5,30,9.00E-03,Yes = 1,EUTRO,1.80E+00,,,
other,50,30,0.5,30,1.00E-02,Yes = 1,EUTRO,2.40E+00,,,
other,55,30,0.5,30,7.00E-03,Yes = 1,EUTRO,1.50E+00,,,
other,55,40,0.5,30,1.00E-02,Yes = 1,EUTRO,2.10E+00,,,
other,55,20,0.5,30,2.00E-03,Yes = 1,EUTRO,4.50E-01,,,
other,55,15,0.5,30,5.00E-07,Yes = 1,EUTRO,1.00E-04,,,
other,60,20,0.5,30,DEAD,Yes = 1,EUTRO,DEAD,,,
other,60,30,0.5,30,9.00E-07,Yes = 1,EUTRO,1.80E-04,,,
other,60,40,0.5,30,6.00E-03,Yes = 1,EUTRO,1.20E+00,,,
other,40,5,0.5,30,1.00E-02,Yes = 1,EUTRO,2.20E+00,,,
other,20,24,0.5,30,2.00E-02,Yes = 1,EUTRO,4.10E+00,,,
other,25,32,0.5,30,2.00E-02,Yes = 1,EUTRO,4.00E+00,,,
other,20,38,0.5,30,2.00E-02,Yes = 1,EUTRO,4.20E+00,,,
other,45,16,0.5,30,1.00E-02,Yes = 1,EUTRO,2.30E+00,,,
other,60,45,0.5,30,7.00E-03,Yes = 1,EUTRO,1.60E+00,,,
